source,title,link,pubDate,content,isoDate
Dublin Inquirer,"Look at converting some social homes in city-centre flats into cost-rentals, says Taoiseach’s group",https://www.dublininquirer.com/look-at-converting-some-social-homes-in-city-centre-flats-into-cost-rentals-says-taoiseachs-group/,"Thu, 07 Aug 2025 23:27:25 GMT","No decision has been made on whether that will happen, a Dublin City Council spokesperson has said. But it hasn’t been ruled out.",2025-08-07T23:27:25.000Z
Dublin Inquirer,"RTB tribunal finds Tramco renters are licencees not tenants, overturning a previous decision",https://www.dublininquirer.com/rtb-tribunal-finds-tramco-renters-are-licencees-not-tenants-overturning-a-previous-decision/,"Thu, 07 Aug 2025 23:26:19 GMT",The landlord argued that the renters in the Rathmines building were hotel guests and that they didn’t have exclusive occupation.,2025-08-07T23:26:19.000Z
Dublin Inquirer,Office of Public Works starts ball rolling on GPO redevelopment,https://www.dublininquirer.com/office-of-public-works-starts-ball-rolling-on-gpo-redevelopment/,"Thu, 31 Jul 2025 22:39:18 GMT","It has issued a tender for a feasibility study. The documents include few details, but they do confirm the likely future uses for the historic building.",2025-07-31T22:39:18.000Z
Irish Independent,‘This is on a different scale’ – fans rave about Dublin Horse Show as the Netherlands swoop for Aga Khan Trophy,https://www.independent.ie/irish-news/this-is-on-a-different-scale-fans-rave-about-dublin-horse-show-as-the-netherlands-swoop-for-aga-khan-trophy/a212241262.html,"Fri, 08 Aug 2025 19:19:43 +0200",Day three of the 150th Dublin Horse Show was the busiest so far as a sellout crowd witnessed the Netherlands clinch the prestigious Aga Khan Challenge Trophy with an immaculate score of zero faults.,2025-08-08T17:19:43.000Z
Irish Independent,Modern Morals: ‘My teenage niece wants my help in getting the pill – but if I tell her parents it will destroy our bond’,https://www.independent.ie/life/modern-morals-my-teenage-niece-wants-my-help-in-getting-the-pill-but-if-i-tell-her-parents-it-will-destroy-our-bond/a472468987.html,"Fri, 08 Aug 2025 06:30:00 +0200",Question,2025-08-08T04:30:00.000Z
Irish Independent,‘There’s a lot of misinformation out there’ – how to prepare for the care costs of ageing parents and navigate the Fair Deal scheme,https://www.independent.ie/business/money/theres-a-lot-of-misinformation-out-there-how-to-prepare-for-the-care-costs-of-ageing-parents-and-navigate-the-fair-deal-scheme/a1186915205.html,"Fri, 08 Aug 2025 06:30:00 +0200","It’s hard watching your parents getting older, but talking to them about getting older can be even harder.",2025-08-08T04:30:00.000Z
The Journal,DAFT.IE PROPERTY MAGAZINE,https://www.thejournal.ie/river/daft-ie-property-magazine-2482558-Aug2025/,"Thu, 01 Jan 1970 01:00:00 +0100","A home gym, bar and room for a pool – luxury living for €3,950,000",1970-01-01T00:00:00.000Z
The Journal,‘Waste of taxpayer money’: €2.5m spent on Cork housing estate now being partially demolished,https://www.thejournal.ie/e2-5m-spent-on-cork-housing-estate-that-is-being-partially-demolished-6782996-Aug2025/,"Fri, 08 Aug 2025 16:33:00 +0100","Work started at the site in 2020 but was halted a few months later, leaving homes in an unfinished state.",2025-08-08T15:33:00.000Z
The Journal,Planning board overturns council’s refusal of planning permission for two new data centres,https://www.thejournal.ie/planning-board-overturns-councils-refusal-of-planning-permission-for-two-new-data-centres-6785737-Aug2025/,"Fri, 08 Aug 2025 12:59:17 +0100",The planning board said the data centres proposed diesel generators must be replaced with a renewable source of back-up energy.,2025-08-08T11:59:17.000Z
The Journal,Ireland's biggest landlord sells 16 apartments for €6.6m and welcomes new rental regulations,https://www.thejournal.ie/irelands-biggest-landlord-sells-16-apartments-for-e6-6m-and-welcomes-new-rental-regulations-6785497-Aug2025/,"Fri, 08 Aug 2025 09:06:25 +0100",The sales of the properties are part of the company’s asset disposal programme.,2025-08-08T08:06:25.000Z
