source,title,link,pubDate,content,isoDate
Dublin Inquirer,"Look at converting some social homes in city-centre flats into cost-rentals, says Taoiseach’s group",https://www.dublininquirer.com/look-at-converting-some-social-homes-in-city-centre-flats-into-cost-rentals-says-taoiseachs-group/,"Thu, 07 Aug 2025 23:27:25 GMT","No decision has been made on whether that will happen, a Dublin City Council spokesperson has said. But it hasn’t been ruled out.",2025-08-07T23:27:25.000Z
Dublin Inquirer,"RTB tribunal finds Tramco renters are licencees not tenants, overturning a previous decision",https://www.dublininquirer.com/rtb-tribunal-finds-tramco-renters-are-licencees-not-tenants-overturning-a-previous-decision/,"Thu, 07 Aug 2025 23:26:19 GMT",The landlord argued that the renters in the Rathmines building were hotel guests and that they didn’t have exclusive occupation.,2025-08-07T23:26:19.000Z
Dublin Inquirer,Office of Public Works starts ball rolling on GPO redevelopment,https://www.dublininquirer.com/office-of-public-works-starts-ball-rolling-on-gpo-redevelopment/,"Thu, 31 Jul 2025 22:39:18 GMT","It has issued a tender for a feasibility study. The documents include few details, but they do confirm the likely future uses for the historic building.",2025-07-31T22:39:18.000Z
Irish Independent,Trump says he’s deploying National Guard in Washington DC to tackle crime and homelessness ,https://www.independent.ie/world-news/north-america/trump-says-hes-deploying-national-guard-in-washington-dc-to-tackle-crime-and-homelessness/a1524640399.html,"Mon, 11 Aug 2025 16:53:44 +0200","US President Donald Trump said Monday he’s placing the Washington, D.C., police department under federal control and deploying the National Guard to make the nation’s capital safer.",2025-08-11T14:53:44.000Z
Irish Independent,Mortgage lenders ‘banking on people’s apathy’ as they charge sky-high interest rates,https://www.independent.ie/business/money/mortgage-lenders-banking-on-peoples-apathy-as-they-charge-sky-high-interest-rates/a1123509970.html,"Mon, 11 Aug 2025 06:30:00 +0200",Mortgage lenders have been accused of banking on people’s apathy to get away with charging them sky-high interest rates.,2025-08-11T04:30:00.000Z
Irish Independent,Protestant fraternity ‘unreservedly apologise’ after pictures of members urinating near homes circulate online ,https://www.independent.ie/irish-news/protestant-fraternity-unreservedly-apologise-after-pictures-of-members-urinating-near-homes-circulate-online/a1352060754.html,"Mon, 11 Aug 2025 15:00:00 +0200",The Apprentice Boys of Derry have issued an apology after an image surfaced of what appears to be members of the group urinating near homes in the city during a parade on Saturday.,2025-08-11T13:00:00.000Z
Irish Times,Irish authorities tackle 52 cases of international child abduction by parents,https://www.irishtimes.com/crime-law/2025/08/11/irish-authorities-tackle-52-cases-of-international-child-abduction-by-a-parent/,"Mon, 11 Aug 2025 14:53:02 +0000",Most children taken from Ireland are brought elsewhere in Europe,2025-08-11T14:53:02.000Z
Irish Examiner,Carrigaline fire damages homes as councillor condemns onlookers filming blaze for social media,https://www.irishexaminer.com/news/munster/arid-41685537.html,2025-08-11T11:26:00.000Z,"Firefighters battled strong winds to contain the blaze, while concerns grow over spectators arriving to take photos and videos",2025-08-11T11:26:00.000Z
The Journal,Apprentice Boys apologise after some members urinate near homes during 'Relief of Derry' events,https://www.thejournal.ie/apprentice-boys-urinating-homes-derry-6787620-Aug2025/,"Mon, 11 Aug 2025 16:48:19 +0100",The General Secretary of the Apprentice Boys labelled the incident “disgusting” and “unacceptable”.,2025-08-11T15:48:19.000Z
The Journal,Trump says that homeless people need to be moved 'far' from Washington 'immediately',https://www.thejournal.ie/trump-says-homeless-people-need-to-be-moved-far-from-washington-6787171-Aug2025/,"Sun, 10 Aug 2025 18:31:28 +0100",Trump has threatened to federalise the city and give the White House the final say in how it is run.,2025-08-10T17:31:28.000Z
