source,title,link,pubDate,content,isoDate
Dublin Inquirer,Office of Public Works starts ball rolling on GPO redevelopment,https://www.dublininquirer.com/office-of-public-works-starts-ball-rolling-on-gpo-redevelopment/,"Thu, 31 Jul 2025 22:39:18 GMT","It has issued a tender for a feasibility study. The documents include few details, but they do confirm the likely future uses for the historic building.",2025-07-31T22:39:18.000Z
Irish Times,How Gen Z is taking a different approach to money - and what others can learn from it,https://www.irishtimes.com/your-money/2025/08/06/young-adults-have-a-very-different-view-of-money/,"Wed, 06 Aug 2025 04:00:00 +0000",Gen Z and younger Millennials no longer consider life’s traditional milestones as appropriate for their lives,2025-08-06T04:00:00.000Z
The Journal,"Ireland's young population is keeping public spending down - for now, says IFAC",https://www.thejournal.ie/ireland-young-population-keeping-public-spending-down-6783431-Aug2025/,"Wed, 06 Aug 2025 07:50:49 +0100",A new report from the Irish Fiscal Advisory Council found that Ireland needs to prepare for a growth in spending as demographics shift and the demand for public services increase.,2025-08-06T06:50:49.000Z
