source,title,link,pubDate,content,isoDate
Dublin Inquirer,"In Rathmines, plans progress for primary-care centre and housing",https://www.dublininquirer.com/in-rathmines-plans-progress-for-primary-care-centre-and-housing/,"Tue, 12 Aug 2025 23:02:20 GMT",The HSE has filed a planning application for a new health-care centre at the Gulistan bring centre site.,2025-08-12T23:02:20.000Z
Dublin Inquirer,"Look at converting some social homes in city-centre flats into cost-rentals, says Taoiseach’s group",https://www.dublininquirer.com/look-at-converting-some-social-homes-in-city-centre-flats-into-cost-rentals-says-taoiseachs-group/,"Thu, 07 Aug 2025 23:27:25 GMT","No decision has been made on whether that will happen, a Dublin City Council spokesperson has said. But it hasn’t been ruled out.",2025-08-07T23:27:25.000Z
Dublin Inquirer,"RTB tribunal finds Tramco renters are licencees not tenants, overturning a previous decision",https://www.dublininquirer.com/rtb-tribunal-finds-tramco-renters-are-licencees-not-tenants-overturning-a-previous-decision/,"Thu, 07 Aug 2025 23:26:19 GMT",The landlord argued that the renters in the Rathmines building were hotel guests and that they didn’t have exclusive occupation.,2025-08-07T23:26:19.000Z
Irish Independent,Credit unions cleared to more than triple mortgage and business lending,https://www.independent.ie/business/money/credit-unions-cleared-to-more-than-triple-mortgage-and-business-lending/a1498293632.html,"Thu, 14 Aug 2025 12:55:33 +0200",Credit unions will be able to more than triple their current mortgage and business lending after the Central Bank gave the go-ahead to changes to lending regulations for the sector.,2025-08-14T10:55:33.000Z
Irish Independent,Grieving parents of Harvey Morrison Sherratt (9) vow to fight for other children with scoliosis as surgery waiting list increases,https://www.independent.ie/irish-news/grieving-parents-of-harvey-morrison-sherratt-9-vow-to-fight-for-other-children-with-scoliosis-as-surgery-waiting-list-increases/a541227161.html,"Thu, 14 Aug 2025 06:30:00 +0200","The number of children waiting for scoliosis surgery has risen again since the Government took office in January, up from 112 to 131.",2025-08-14T04:30:00.000Z
Irish Examiner,Presidential hopeful Gareth Sheridan defends mother’s role in housing project objection,https://www.irishexaminer.com/news/arid-41686941.html,2025-08-14T00:00:00.000Z,Gareth Sheridan insists his mother’s objection to a Dublin housing project was made in good faith and at her employer’s direction,2025-08-14T00:00:00.000Z
Irish Examiner,Bernard O’Shea: Five things I had to explain to my kids about video rental shops,https://www.irishexaminer.com/lifestyle/people/arid-41686752.html,2025-08-14T14:03:00.000Z,"Once a sacred Friday-night ritual, now a baffling life lesson for my children.",2025-08-14T14:03:00.000Z
