source,title,link,pubDate,content,isoDate
Dublin Enquirer,"Dublin’s Housing First programme is on pause, raising questions about competitive tendering for social care services",https://www.dublininquirer.com/dublins-housing-first-programme-is-on-pause-raising-questions-about-competitive-tendering-for-social-care-services/,"Fri, 18 Jul 2025 00:32:54 GMT","“Housing First works best when it is high quality, consistent and for as long as necessary,” says Samara Jones, coordinator of the Housing First Europe Hub.",2025-07-18T00:32:54.000Z
Dublin Enquirer,"After years of work by council, government abruptly spiked policy meant to deliver arts spaces in the city",https://www.dublininquirer.com/after-years-of-work-by-council-government-abruptly-spiked-policy-meant-to-deliver-arts-spaces-in-the-city/,"Tue, 15 Jul 2025 23:51:26 GMT","“It was hugely dispiriting,” says Labour Councillor Darragh Moriarty, who chairs Dublin City Council’s arts committee.",2025-07-15T23:51:26.000Z
Irish Independent,Four-person mortgages on the rise as Irish homebuyers feel the squeeze,https://www.independent.ie/irish-news/four-person-mortgages-on-the-rise-as-irish-homebuyers-feel-the-squeeze/a1971190329.html,"Sun, 20 Jul 2025 06:30:00 +0200","Demand for four-person ­mortgages, where pairs of couples or a group can band together to buy a home, is on the rise as ­affordability is stretched to the limit.",2025-07-20T04:30:00.000Z
Irish Times,Dublin’s new tallest building: This tower of darkness should never have been allowed,https://www.irishtimes.com/culture/art/2025/07/20/dublins-new-tallest-building-tara-streets-tower-of-darkness-should-never-have-been-allowed/,"Sun, 20 Jul 2025 04:20:00 +0000",College Square was redesigned to give its residential block more impact. Why did An Bord Pleanála make such a misguided decision?,2025-07-20T04:20:00.000Z
RTE News,Govt set to sign off on €100bn National Development Plan,https://www.rte.ie/news/ireland/2025/0721/1524447-national-development-plan/,"Mon, 21 Jul 2025 00:01:00 +0100",Coalition leaders and senior ministers meet this morning to sign off on the €100 billion revised National Development Plan.,2025-07-20T23:01:00.000Z
The Journal,Government planning for €200bn investment in capital expenditure over next decade,https://www.thejournal.ie/irish-government-spending-plans-6768276-Jul2025/,"Sun, 20 Jul 2025 14:32:11 +0100",Minister Jack Chambers said that the money will give a “transformational opportunity” to the Irish economy.,2025-07-20T13:32:11.000Z
The Journal,DAFT.IE PROPERTY MAGAZINE,https://www.thejournal.ie/river/daft-ie-property-magazine-2482519-Jul2025/,"Thu, 01 Jan 1970 01:00:00 +0100","Tour this €2,250,000 luxurious home in coastal Malahide",1970-01-01T00:00:00.000Z
The Journal,Parenting: Summer is supposed to be the best season - until it arrives and fills you with guilt,https://www.thejournal.ie/readme/parenting-column-margaret-lynch-summer-6766567-Jul2025/,"Sat, 19 Jul 2025 21:00:47 +0100",Our columnist Margaret Lynch feels the warmer months aren’t always what they’re cracked up to be.,2025-07-19T20:00:47.000Z
